frame_id,instance_id,x,y
1.0,5700.0,853.555,347.2
2.0,5700.0,856.482,344.556
3.0,5700.0,860.297,341.126
4.0,5700.0,863.301,338.414
5.0,5700.0,865.821,336.128
6.0,5700.0,868.224,333.941
7.0,5700.0,869.924,332.393
8.0,5700.0,871.444,331.008
9.0,5700.0,872.242,330.084
10.0,5700.0,872.676,329.532
11.0,5700.0,873.066,329.035
12.0,5700.0,873.578,328.732
13.0,5700.0,874.089,328.43
14.0,5700.0,874.651,328.097
15.0,5700.0,875.265,327.733
16.0,5700.0,876.217,326.814
17.0,5700.0,877.169,325.894
18.0,5700.0,878.832,324.358
19.0,5700.0,880.334,322.959
20.0,5700.0,882.255,321.408
21.0,5700.0,884.346,319.793
22.0,5700.0,887.002,317.741
23.0,5700.0,889.317,315.955
24.0,5700.0,892.039,313.651
25.0,5700.0,894.878,311.25
26.0,5700.0,898.199,308.62
27.0,5700.0,901.846,305.732
28.0,5700.0,904.829,303.37
29.0,5700.0,908.15,300.74
30.0,5700.0,911.467,297.683
31.0,5700.0,914.779,294.629
32.0,5700.0,918.426,291.268
33.0,5700.0,921.739,288.214
34.0,5700.0,925.043,285.304
35.0,5700.0,928.345,282.398
36.0,5700.0,931.261,279.647
37.0,5700.0,934.167,276.906
38.0,5700.0,937.284,274.397
17.0,5701.0,931.735,284.28
18.0,5701.0,928.145,287.371
19.0,5701.0,924.559,290.458
20.0,5701.0,920.973,293.546
21.0,5701.0,918.105,296.014
22.0,5701.0,914.519,299.102
23.0,5701.0,911.29,301.882
24.0,5701.0,908.372,304.362
25.0,5701.0,905.457,306.84
26.0,5701.0,903.573,308.724
27.0,5701.0,901.505,310.794
28.0,5701.0,899.813,312.486
29.0,5701.0,898.492,313.557
30.0,5701.0,897.17,314.627
31.0,5701.0,895.851,315.695
32.0,5701.0,895.424,316.178
33.0,5701.0,894.907,316.465
34.0,5701.0,894.445,316.795
35.0,5701.0,893.969,317.102
36.0,5701.0,893.398,317.267
37.0,5701.0,891.685,318.121
38.0,5701.0,890.689,318.49
7.0,5702.0,854.602,345.755
8.0,5702.0,857.671,343.205
9.0,5702.0,860.737,340.658
10.0,5702.0,863.093,338.697
11.0,5702.0,864.78,337.29
12.0,5702.0,866.063,336.215
13.0,5702.0,867.028,335.403
14.0,5702.0,867.523,334.992
15.0,5702.0,868.063,334.545
16.0,5702.0,868.513,334.172
17.0,5702.0,869.321,333.489
18.0,5702.0,870.329,332.625
19.0,5702.0,871.336,331.762
20.0,5702.0,872.344,330.899
21.0,5702.0,873.4,330.027
22.0,5702.0,874.721,328.937
23.0,5702.0,875.329,328.435
24.0,5702.0,876.004,327.877
25.0,5702.0,876.679,327.32
26.0,5702.0,877.355,326.762
27.0,5702.0,878.929,325.463
28.0,5702.0,880.216,324.4
29.0,5702.0,882.138,322.672
30.0,5702.0,884.061,320.943
31.0,5702.0,886.597,318.709
32.0,5702.0,889.555,316.111
33.0,5702.0,892.411,313.612
34.0,5702.0,895.27,311.111
35.0,5702.0,898.126,308.612
36.0,5702.0,901.366,305.617
37.0,5702.0,904.594,302.633
19.0,5703.0,849.487,348.844
20.0,5703.0,850.556,347.818
21.0,5703.0,851.411,346.998
22.0,5703.0,852.479,345.972
23.0,5703.0,853.442,345.048
24.0,5703.0,854.511,344.022
25.0,5703.0,855.578,342.997
26.0,5703.0,856.649,341.97
27.0,5703.0,857.824,340.842
28.0,5703.0,858.785,339.919
29.0,5703.0,859.855,338.892
30.0,5703.0,860.815,338.004
31.0,5703.0,861.775,337.117
32.0,5703.0,863.114,335.899
33.0,5703.0,864.332,334.792
34.0,5703.0,864.854,334.299
35.0,5703.0,865.376,333.807
36.0,5703.0,865.899,333.313
37.0,5703.0,866.134,333.074
38.0,5703.0,866.317,332.881
10.0,5704.0,846.602,352.884
11.0,5704.0,849.212,350.719
12.0,5704.0,851.258,349.045
13.0,5704.0,853.304,347.37
14.0,5704.0,855.218,345.817
15.0,5704.0,856.857,344.505
16.0,5704.0,858.224,343.411
17.0,5704.0,859.037,342.509
18.0,5704.0,859.85,341.608
19.0,5704.0,860.771,340.834
20.0,5704.0,861.693,340.061
21.0,5704.0,862.347,339.514
22.0,5704.0,863.28,338.731
23.0,5704.0,864.554,337.655
24.0,5704.0,865.969,336.459
25.0,5704.0,867.094,335.419
26.0,5704.0,868.222,334.376
27.0,5704.0,869.32,333.351
28.0,5704.0,870.217,332.512
29.0,5704.0,871.191,331.601
30.0,5704.0,872.165,330.69
31.0,5704.0,872.919,329.967
32.0,5704.0,873.481,329.396
33.0,5704.0,873.992,328.878
34.0,5704.0,874.264,328.616
35.0,5704.0,874.536,328.355
36.0,5704.0,874.558,328.146
37.0,5704.0,874.579,327.938
38.0,5704.0,874.846,327.766
0.0,5705.0,1022.646,482.015
1.0,5705.0,1018.959,477.927
2.0,5705.0,1015.276,473.844
3.0,5705.0,1011.593,469.761
4.0,5705.0,1007.906,465.674
5.0,5705.0,1004.223,461.591
6.0,5705.0,1000.455,456.854
7.0,5705.0,997.028,452.546
8.0,5705.0,993.595,448.228
9.0,5705.0,990.04,444.028
10.0,5705.0,986.381,439.915
11.0,5705.0,983.053,436.249
12.0,5705.0,979.397,432.144
13.0,5705.0,976.373,428.576
14.0,5705.0,973.044,424.648
15.0,5705.0,969.242,420.518
16.0,5705.0,966.439,416.848
17.0,5705.0,963.418,413.37
18.0,5705.0,960.172,410.094
19.0,5705.0,957.18,406.598
20.0,5705.0,954.172,403.116
21.0,5705.0,951.781,400.319
22.0,5705.0,948.807,396.806
23.0,5705.0,946.505,393.308
24.0,5705.0,943.641,389.698
25.0,5705.0,940.78,386.092
26.0,5705.0,937.912,382.478
27.0,5705.0,934.763,378.509
28.0,5705.0,932.187,375.262
29.0,5705.0,929.32,371.648
30.0,5705.0,926.452,368.034
31.0,5705.0,923.588,364.424
32.0,5705.0,920.435,360.451
33.0,5705.0,917.571,356.841
34.0,5705.0,914.703,353.227
35.0,5705.0,911.839,349.617
36.0,5705.0,908.968,345.999
0.0,5706.0,863.202,296.032
1.0,5706.0,865.89,298.806
2.0,5706.0,868.575,301.576
3.0,5706.0,871.261,304.346
4.0,5706.0,873.77,306.93
5.0,5706.0,875.535,308.779
6.0,5706.0,877.474,310.809
7.0,5706.0,878.237,311.599
8.0,5706.0,879.002,312.39
9.0,5706.0,879.169,312.55
10.0,5706.0,879.337,312.71
11.0,5706.0,879.863,313.221
12.0,5706.0,880.469,313.766
13.0,5706.0,881.678,314.527
14.0,5706.0,883.118,315.161
15.0,5706.0,884.778,315.59
16.0,5706.0,886.834,315.572
17.0,5706.0,888.829,315.075
18.0,5706.0,890.897,313.982
19.0,5706.0,893.302,312.523
20.0,5706.0,895.571,310.861
21.0,5706.0,897.905,309.08
22.0,5706.0,900.763,306.777
23.0,5706.0,903.373,304.328
24.0,5706.0,906.174,301.509
25.0,5706.0,909.533,298.434
26.0,5706.0,912.899,295.352
27.0,5706.0,916.62,291.993
28.0,5706.0,919.723,289.147
29.0,5706.0,923.111,286.089
17.0,5707.0,798.447,393.115
18.0,5707.0,800.503,391.475
19.0,5707.0,802.557,389.836
20.0,5707.0,805.787,387.208
21.0,5707.0,808.369,385.106
22.0,5707.0,811.598,382.477
23.0,5707.0,814.217,380.663
24.0,5707.0,817.217,378.288
25.0,5707.0,820.214,375.915
26.0,5707.0,823.288,373.033
27.0,5707.0,826.755,369.979
28.0,5707.0,829.229,367.78
29.0,5707.0,832.051,365.338
30.0,5707.0,835.006,362.783
31.0,5707.0,838.058,360.144
32.0,5707.0,840.867,357.711
33.0,5707.0,843.388,355.526
34.0,5707.0,845.913,353.339
35.0,5707.0,848.318,351.254
36.0,5707.0,850.728,349.164
37.0,5707.0,852.728,347.453
38.0,5707.0,854.733,345.738
7.0,11080.0,1452.292,1420.504
8.0,11080.0,1459.222,1419.054
9.0,11080.0,1465.846,1418.133
10.0,11080.0,1472.498,1417.444
11.0,11080.0,1479.17,1416.987
12.0,11080.0,1485.401,1417.045
13.0,11080.0,1491.637,1417.358
14.0,11080.0,1497.849,1417.924
15.0,11080.0,1503.864,1418.774
16.0,11080.0,1509.849,1419.808
17.0,11080.0,1515.794,1421.023
18.0,11080.0,1521.706,1422.42
19.0,11080.0,1526.619,1423.654
20.0,11080.0,1531.429,1425.226
21.0,11080.0,1536.124,1427.131
22.0,11080.0,1540.668,1429.357
23.0,11080.0,1543.722,1431.004
24.0,11080.0,1546.707,1432.774
25.0,11080.0,1549.617,1434.665
26.0,11080.0,1551.006,1435.957
27.0,11080.0,1552.211,1437.422
28.0,11080.0,1553.213,1439.035
29.0,11080.0,1553.991,1440.764
30.0,11080.0,1554.535,1442.583
31.0,11080.0,1554.854,1443.971
32.0,11080.0,1555.09,1445.37
0.0,11081.0,1511.478,1401.867
1.0,11081.0,1508.578,1401.675
2.0,11081.0,1505.697,1401.298
3.0,11081.0,1502.846,1400.738
4.0,11081.0,1499.209,1400.252
5.0,11081.0,1495.568,1399.766
6.0,11081.0,1491.927,1399.28
